,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
0,I love you. ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3,im broke but i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
49,'Kill your shitty child!',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
61,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
90,I love you!!!!! [?][?][?][?],en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
98,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
102,love u,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
108,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
171,Luv u,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
181,Love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
183,I love you !,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
191,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
195,I love you contrapoints,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
207,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
235,Love ya!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
239,love u,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
242,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
249,I love you too.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
253,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
264,love u!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
268,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
302,I love you too.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
324,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
340,Love'ya,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
345,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
351,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
358,i love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
391,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
397,love u,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
401,I love you!!!!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
411,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
415,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
432,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
434,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
438,"I love you,",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
445,thank you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
462,I'm broke and I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
467,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
470,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
481,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
488,i love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
500,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
